id,author,description,pubdate
253,@user-jc7uy2rn3r,pegang bola ilang pegang bola ilang itu unggul uzbekistan clear 3 kali bentur tiang gawang let s be fair that they are better than us yesterday now we ve just learned by them and tomorrow we will better than iraq and every team againts us amin,2024-05-01 0:25:24
254,@RamaSinta-qn2fx,pertandingan2 lain lupa kalah fokus utk rebut tiket olimpiade sesi latih ikut tambah sesi meditasi utk lupa kalah bangun mental lebih percaya diri tatap pertandingan2 ikut nya semangat terbang tinggi garuda indonesia,2024-05-01 0:23:32
255,@JoniDarko-vb5jj,gw pantun wasit kurakura jalan cepat wasit kok curang cuaks,2024-05-01 0:23:08
256,@nofriaharnuanto6138,indonesia bangga u-23,2024-05-01 0:21:47
257,@Nazmi-qk1tx,terus indonesia,2024-05-01 0:16:20
258,@Samini-cm1xw,kelas curang woi,2024-05-01 0:05:50
259,@marquezbayoran5092,kirim assassin buat wasit,2024-04-30 23:59:18
260,@hermancuwow3791,kalian garuda muda hebat ayo kejar cita kalian ,2024-04-30 23:54:48
261,@PutuDimas,seperti gak sengaja ridho gimana gak kena sekian detik dekat begitu,2024-04-30 23:46:54
262,@Anxsyan__57,gol pertma msooo or sah wasito gembung  mana ad opset liat tuh blakang kiper,2024-04-30 23:44:43
263,@user-nt9sf1te1w,fomo fomo,2024-04-30 23:44:22
264,@SilaSil-kb8ch,wasit bodat,2024-04-30 23:40:39
266,@slametrumoning8384,indonesia tetap sabar,2024-04-30 23:38:02
267,@dianeka_ek,juri gak adil uang kuasa,2024-04-30 23:37:48
268,@Vinanurelisa17,wasit nya roce,2024-04-30 23:36:22
269,@Prof.EdiCacing,no one can beat the indonesian national team except a cheating referee that s how great our national team is and the indonesian national team is the only one who can break into uzbekistan s goal but is cheated by the referee  keep going our national team ,2024-04-30 23:59:46
270,@ArkanHarit,uzbekistan main kaya banci nempel dikit jatuh banyak pura2 tambah wasit lebih banci lg di bayar brp si sit drpd jd wasit mending jd tukang tipu aj sit,2024-04-30 23:35:48
271,@isrokalmas8992,kalo tim uzbezkistan nyelengkat kayak wasipnya gk kasi kartu merah kek kartu kuning kek wasipnya gk jelas,2024-04-30 23:32:50
272,@isrokalmas8992,sangka utama kalah timnas indonesia vs uzbekistan 1 wasit var agal peluang indonesia cetak gol offside penalty 2 jerome polin buat main timnas linglung tanding 3 jabat bupati pampang paling tampak leceh main timnas kita,2024-04-30 23:29:57
273,@MuhammadRizal-fn1cb,wasite bongko,2024-04-30 23:29:52
274,@PutuDimas,wajar rugi wasit asal cina tailan karna negara pernah masuk semi final bangga timnas terus la juang,2024-04-30 23:29:23
275,@WorldInterestingNews,semua gara-gara jerome polin,2024-04-30 23:24:12
276,@uuppadiuloh6548,waset gila banget,2024-04-30 23:22:08
277,@raffaelbayumaulana4553,indonesia kalah gara gara wasit,2024-04-30 23:15:51
278,@QORI-17,mungkin kalah gua terima yg bikin kecewa pimpin wasit yg awal udah bikin kotor tanding gua rasa lapor pak erik thohir wsit yg kaya gin keluar dunja sepak bola jelas banget ngerugiin juang anak anak bangsa ga langsung negara harga diri turun wasit wasit kunyuk,2024-04-30 23:09:57
279,@d_veeta3585,idonesia siapa dukung idonesia vs pakistan kalah sama ronaldo,2024-04-30 23:06:51
280,@mhariyani-pz4lp,indonesia kelas dunia ga bakal ane beli produk china wasit orang china curang ,2024-04-30 23:05:17
281,@QORI-17,curang ko of said wasit bayar waduh parah sih 2,2024-04-30 23:04:24
282,@ChairulAmal1981,klo wasit mimpin tanding indonesia pentas dunia asal thailand bikin gedek  selalu rugi timnas indonesia tuju like,2024-04-30 23:03:46
283,@user-yt2jd4fi8q,menit 57 putus yg aneh kartu kuning tendang pojok tetap lanjut,2024-04-30 23:02:02
284,@agunggumilang1767,wasite maning wasite sing cutang,2024-04-30 23:01:18
285,@LukmanulHakim-iq8be,om shin tae yong main pakai strategi serang tahan netizen indonesia suka serang,2024-04-30 22:58:53
286,@wahyufirdaus2960,wasit pakyu,2024-04-30 22:56:18
287,@dwipurwanti8408,appn hasil qt tetep love timnas qt tetap bangga kpd kalian terus semangat pantang serah,2024-04-30 22:54:51
288,@enangtv3313,ingat laga laga yg gk kedetect dri radar fifa meski kalian habis jiwa raga kalian ad baikkny kalian boikot afc via instagram mau platform appun biar gk dpt dukung gk cipta laga kotor kapan,2024-04-30 22:53:23
289,@wahyufirdaus2960,wasit var sangat buruk indonesia,2024-04-30 22:51:28
290,@aufafitrianur8730,wasi gak adil banget makanya indonesia kalah,2024-04-30 22:47:46
291,@wahyufirdaus2960,memang indonesia main emosional makanya tdk pernah menang terlalu hoax banyak paham,2024-04-30 22:41:59
292,@MuhamadArifin-ug1qb,r ridho kasi kluar timnas,2024-04-30 22:41:52
293,@user-nk6wz3dn4o,asing prettttt modal keberungan,2024-04-30 22:37:20
294,@riand4639,wasit nya curang,2024-04-30 22:34:06
295,@user-im2gm9fk8f,janggal sekali sejak kapan lempar dalam jadi offside,2024-04-30 22:31:26
296,@verrelmaulana1391,ayang abang sayang ,2024-04-30 22:28:08
297,@user-pd5cy1cw2u,tetap bangga usaha,2024-04-30 22:21:47
298,@DaniAlfani-vt4nf,wasit anjik,2024-04-30 22:05:25
299,@donaltrump7155,cuarang main banyak keluar kartu kuning padahal jauh langgar pantas lo menang arap takut terima kalah,2024-04-30 22:05:02
300,@dinonugroho1294, nihal,2024-04-30 22:04:10
301,@mirgoinsagi2807,gua bangga indonesia jauh tempur kalah bukan arti mundur kalah hari rupa awal lang lebih jauh nanti trus evaluasi tim taktik lain tetap semangat indonesia penasaran wasit negara mana ya ,2024-04-30 22:03:29
302,@sucihikmawati9519,afc asi football comedy,2024-04-30 22:01:15
304,@Hhh12353,sit washit,2024-04-30 21:54:02
305,@Bll-bx6sv,wasit shen yinhao makan tinja babi masa langgar jadi tendang jaga gawang the referee eats pig fools when the violation becomes a goalkeeper s kick           ,2024-04-30 21:53:42
306,@wahyuningsih8788,wasit ape tu,2024-04-30 21:52:53
307,@NurlailaNur1231,sumpah curang,2024-04-30 21:52:46
309,@user-ke8oy6lq8h,ngk kena loh,2024-04-30 21:42:46
310,@joshkula2644,ulang wasite raceto,2024-04-30 21:41:12
311,@Menyooo-zd8ju,wasit bayar,2024-04-30 21:32:43
312,@tidakpunyanama4637,udah gol padahal wasit lu kenape,2024-04-30 21:30:34
313,@user-jz8ok9fz3t,wasit nya anj,2024-04-30 21:21:23
315,@sriwulan1216,ualng tanding sibuk wasit,2024-04-30 21:11:45
316,@iramdk2464,proses goal 2 mana nih,2024-04-30 21:09:01
317,@SintaPuji-ee9jq,wasit minta ajak ngopi,2024-04-30 21:08:51
318,@rikiarisman5961,min bilangin sty bagas suruh turun,2024-04-30 21:07:39
319,@tetiumiyati8273,gol ferrari offside krn bola lepas kaki arhan kaki sananta lebih sedikit main uzbekistan,2024-04-30 21:00:47
320,@tetiumiyati8273,apa offset woi itu udah gol,2024-04-30 21:00:15
321,@Indonesia_173,indonesia 11 main vs uzbekistan 14 main,2024-04-30 20:54:56
322,@user-hu4yy7xl6b,wasit nya yatim,2024-04-30 20:52:01
323,@Hermawan-lm3vn,semi final udah bagus buat indonesia keren cuy heran sih kok indonesia curangin wasit 2 kali vs qatar sama uzbekistan,2024-04-30 20:49:10
324,@nooe370,bentar main uzbekistan curang masak gol engga aku,2024-04-30 20:42:48
326,@VuserHax,wasit bner udah gila,2024-04-30 20:40:57
327,@zgaming_43,artan hibat,2024-04-30 20:34:35
328,@siarandsp,peran striker bukan cetak gol tutup ruang oper main belakang lawan  sanantha jauh banget buat nutup ruang kayak struick  dapat sih,2024-04-30 20:32:59
329,@IbasAlkhadafiilham-nr4gx,nonton highlight sampe degdegan pol,2024-04-30 20:31:41
330,@Parapipuu,wasit kont sini got serlok,2024-04-30 20:24:42
331,@heruharmoko9637,tetep bangga garuda muda indonesiaaaa semangattt,2024-04-30 20:18:32
332,@AnasSulton-pt5mc,bree gua mau nanya indonesia goal offiside itu padahal kan bola gk kena main indonesia kena kiper main usbek duluan loncat indonesia kok kena offside ,2024-04-30 20:15:26
333,@halimahtobs9441,mampus syukurin lu kalah,2024-04-30 20:07:59
334,@user-uw7oi1oi9h,sudut pandang  hadap iraq putar urat tiga mungkin lebih baik main pegang bola lama mungkin area tengah lapang hingga keluar keringat pancing main iraq banyak yg keluar tengah lapang lalu serang dadak bola2 sekali sentuh tajam lini belakang iraq seperti buah hasil gol yg bagus,2024-04-30 20:05:12
335,@INFOKERJA73,komentar saya wasit curang wasit mata duit wasit koplok di situ lihat ofsait yg gol murni moga wasit itu ini yg akhir pimpin tanding lanjut dapat karma derita,2024-04-30 20:01:17
336,@muhammadsetiawan4980,uzbekistan memeng pantas juara skilnya keren,2024-04-30 20:00:59
337,@NizamKhoirulNo,wasitn8ga netral,2024-04-30 19:53:04
338,@davinoandfamily,lu pijak sama gua,2024-04-30 19:48:51
339,@imadeariwidiana6890,gimana sih wasit nya dih kok gituh,2024-04-30 19:45:11
340,@user-mz4qo8mb1k,sepak bola class ringan begini kesan muas indo tetap garuda sayap semangat kalah murni menang murni,2024-04-30 19:45:01
341,@abahentertainment,indonesia menang jokowi nobar,2024-04-30 19:44:45
342,@slametdoang1012,wasittt asuuu,2024-04-30 19:43:35
343,@Jesicamiraaa,gerak dikit kasih kartu,2024-04-30 19:40:52
344,@engkuskusno1691,wasit nya peletttt mungkin n orang jelas jelas indonesia menang  malah dapet wasit kaya gituuuu kecewa sih kecewa lebih kecewa wasit ,2024-04-30 19:36:13
345,@Sapana.01911,wsete mumet,2024-04-30 19:35:18
346,@RiskaYulia-xg8ys,wasiit wasiit,2024-04-30 19:34:24
347,@sakhirmanwaruwu8777,nt indonesia kalian tetep keren,2024-04-30 19:30:16
348,@ahmadkun69,wasit ajg,2024-04-30 19:20:15
349,@yogisuaramahardika1369,kecewa kerja wasit udah sih uzbekistan memang main lebih bagus bangga performa timnas,2024-04-30 19:04:22
350,@SitiMardiyah-bg5dp,wasit curang,2024-04-30 19:00:28
351,@naakbm,offside nya min lawak mah,2024-04-30 18:49:54
352,@GadingSlow,kecewa gegara wasit tetep bangga sama timnas ,2024-04-30 18:43:04
353,@ahmadsophian8135,emang wasit ngak beres,2024-04-30 18:30:45
354,@Lynzz1,wasite asu,2024-04-30 18:30:14
355,@user-vz3nk8xu2x,indonesia babi,2024-04-30 18:14:41
356,@mememe131199,indonesia jaya ,2024-04-30 18:11:58
357,@Zulkifli-cw7gx,kecewa nasi jadi bubur pahit  biar dunia lihat betapa buruk wasit wasit,2024-04-30 18:01:00
358,@JTarigan1989,komentator gimana sih ini,2024-04-30 17:58:25
359,@aminatunnisanurfitriana,ngak perlu nyalahin wasit uzbek main lebih bagus dri segala,2024-04-30 17:22:38
360,@andrijohanas8264,kartu merah,2024-04-30 17:06:32
361,@gandungaw1614,pideo tanding edar mana mana sangat malu adil main seni pal bola yg tendang laranganya lawanla yg hindar kalau kena namun jadi kartu merah bobol indonesia satu gol yg pertama lihat jelas kaki julur pasuk jebak opsaid indonesia luar biasa indonesia patut jadi juara,2024-04-30 16:45:27
362,@AlAska-kj2el,semangat timnas banggan luntur,2024-04-30 16:39:35
363,@717_id,saat timnas kalah korsel nyata sty benar2 profesional jadi owel tunjuk prestasi tapi ngk mungkin dan tdk butuh,2024-04-30 16:38:31
364,@irwanasila9479,wasit sogo itu,2024-04-30 16:30:43
365,@jvezdanoushka9758,dari awal udah jelas indonesia kalah main orang dalam,2024-04-30 16:13:02
366,@user-tj5im2su1s,yakin deh lur  timnas indonesia bakal superpower depan  u23 aja main keren banget  tambah pemain2 senior darah eropa respect buat juang timnasu23,2024-04-30 16:04:55
367,@simphonyndruru6101,indonesia kan jago main sinetron,2024-04-30 16:01:18
368,@TambatTambat-id4sx,wasit nya gak jelas,2024-04-30 15:53:23
369,@KurniawanRiyo,wasit nya anjg,2024-04-30 15:48:52
370,@Varen_nickyNicky,lebih suka nonton korsel vs indonesi ketimbang ini lihat curang seprri singkir timnas si curang wasit lemah uzbekitan lemah,2024-04-30 14:51:12
371,@user-qd7ok2rs7z,kiper ninju bola main uzbekistan belakang no 4 kok bilang offside fifa tanggung jawab atas tidak fairannya,2024-04-30 14:45:32
372,@garaseuye,main bola nama cengli curang,2024-04-30 14:42:16
373,@HerlyMilanisti,wasit2 sontoloyo d pecat biar jadi anggur br miskin kereeeee,2024-04-30 14:41:48
374,@BazimaSbl-rk4sj,perhati kn wasid curang bola gol indonesia murni gk terjbak sait karna lawan dpn,2024-04-30 14:38:52
375,@aslahrohilah-ri9pc,ojo nganti indonesia menang,2024-04-30 14:34:01
376,@salsasaskia3435,gol ferarri asa nerima kiper dah kok offside heran,2024-04-30 14:32:17
377,@kikikomara9792,selamat buat uzbek tim memang kuat solid buat timnas lebih kuat profesional,2024-04-30 14:31:44
378,@beruangpanda-lf5yw,licik curang,2024-04-30 14:28:44
379,@firmanchonero7814,wasit masalah,2024-04-30 14:14:34
380,@davidjhon5943,wasit cina suka indonesia juara,2024-04-30 14:07:02
381,@siswantosiswantoojolbatam,menang haram,2024-04-30 14:02:54
382,@antipki5178,mau ngecek far aja wasit senyum senyum dulu jelas bangat setinganya,2024-04-30 14:01:49
383,@LahanAnimeYuukiAmay,sama gak sih liat nonton panjang tanding ramadan sananta gak konstribusi main baik nya kalaw gak offside kartu banyak rugi team makanya sty lebih banyak jadi sananta duduk bangku cadang,2024-04-30 13:57:15
384,@user-cw9wp2ww1g,wasit kampret,2024-04-30 13:56:07
385,@sidikhaproject,wasit kurang profesional cocok jadi wasit tu,2024-04-30 13:43:06
386,@bangsawanlancangkuning4480,ridho anak baik patuh wasiiit  oy kasih kartu merah sedih liat tanding semi final kemarin,2024-04-30 13:42:38
387,@bangsawanlancangkuning4480,inti cape kalo cuma bilang cukup semi final itu beri suatu kembang sepak bola indonesia saya tuju erick thohir paksa optimis final kita masyarakat indonesia optimis dong jgn lemah masa udah cukup kalo kalah bilang udah cukup nya optimis ngomong nya indonesia jepang gtu dong biar kuat mental mental dukung kuat biar motivasi main menularr bro siapa indonesia  semangat tembus olimpiade perancis,2024-04-30 13:42:03
388,@petrananda6196,aamiin,2024-04-30 13:34:50
389,@OmanGanteng-vi7de,kecewa kpemimpinan wasit tapi bangga kembang timnas,2024-04-30 13:34:44
390,@maulanatolevision4785,inti kalah jokowin,2024-04-30 13:32:15
391,@bangsawanlancangkuning4480,indonesia main nya kasar ,2024-04-30 13:31:40
392,@ilham_solin40,jokowi sibuk buat gim cara keluarga yg mimpin makanya indonesia kalah  wani nya piro  wasit ga kaidah amplop sih,2024-04-30 13:30:22
393,@user-fb3yb7kh1p,klo gua mungkin dah gua tonjok tuh wasit udah dapet red card ,2024-04-30 13:25:51
394,@RusdiRusdi-xt9oo,kualitar uzbe lebih unggul banyak peluang kena mistar gawang scara strategi cetak unggul lebih dulu sayang gembos,2024-04-30 13:24:26
395,@enikekusumawati8292,bola mantul lebih tangan kiper uzbekistan ke arah ferari jadi samanta ramadhan offside,2024-05-01 8:56:43
396,@firdauschannel1629,semangat terus timnas u-23 meski wasit nya pihak uzbekistan ,2024-04-30 13:18:18
397,@user-nv7ty2qg5v,buat zholim tidak lampau batas kalau amiinkan doa kezholiman moga allah balas kezholiman,2024-04-30 13:17:50
398,@dendiafriansya7813,amat saya memang posisi sananta offside yg terima bola pertama kali arhan ferrari onside yg kemudian beri sananta kali onside kembali ferrari onside utk jadi gol anggap offside mohon koreksi,2024-04-30 13:17:08
399,@user-nv7ty2qg5v,tdak perlu aku gaul internasional kalau harga diri injak2,2024-04-30 13:16:48
400,@kurniaandri5635,indonesia tindak tegas hormat menang tanding tdk banding harga diri klau yg wenang henti main pulang main sebgai protes punya martabat,2024-04-30 13:03:43
401,@Surya28Official,wasit nya baru bljr tuh,2024-04-30 13:03:27
402,@agungsulaksana3053,percaya yg menang wasit bukan main,2024-04-30 13:02:01
403,@4MH1CHANNEL,bener d anggp remeh indo sama negara arab wasit cari dpt dor berat belah wasit,2024-04-30 13:01:32
404,@usmanharun4657,wasit thailand ma cina benci indonesia  11 lawan 13,2024-04-30 13:00:03
405,@panduarmada7328,kakau masyarakat tinggal lebih kecewatidak tonton semua jadi bisnis perintah dungu nghak menbijaki masyarakat nonton doa,2024-04-30 12:58:55
406,@usmanharun4657,kartu merah ny gk bnr itu jelas nendang bola lalu main usbek masuk otomatis lah bukan sengaja kaki mantul kena lutut,2024-04-30 12:58:24
407,@usmanharun4657,main,2024-04-30 12:57:00
408,@CindyNa09,menang timnas indonesia rampok wasit china thailand,2024-04-30 12:56:37
409,@toriaja6567,tahan kurang jebak offside nya garis tahan kurang rapi semua jauh oke walaupun kecewa bangga kalian prestasi luar biasa mental sangat baik tingkat terus garuda indonesia semua dukung kalian baik,2024-04-30 12:55:26
410,@sitisundari3769,mudah2 han yg tertndang telor nya tewas,2024-04-30 12:53:31
411,@techreview6999,tandain muka wasit biadab,2024-04-30 12:48:35
412,@birinspt8829,wasit jembot,2024-04-30 12:47:53
413,@WisangGeni-cl7oc,semangat kapten ridho jasa kapten banyak jasa wasit gak terima lihat karirmu,2024-04-30 12:46:55
414,@user-lb5vo6hj4c,wasik sok asik lu,2024-04-30 12:45:51
415,@KhasbullahHuda-hw8bv,curang curang muncul takut lawan timnas indonesia ea  bravo timnas u re the best until team qatar and uzbekistan cheater to team indonesia  qatar uzbekistan you re team like this ,2024-04-30 12:43:29
416,@hobigame3355,sangat kecewa sama wasit yank tida adil kan uzbe yank tida layak trima kasih kuu main timnas yank sangat luwar biyasa tetap semangat sangat trima kasih latih sty yank dai main indonesia kibar lebih tinggi lgi,2024-04-30 12:43:00
417,@user-fq7gw4kg7s,kapten lampu merah,2024-04-30 12:36:40
418,@onhykhen2138,bagaimana mungkin wit and langgar lantas wasit sdh tunjuk tempat langgar lantas var posisi witan kotak penalti kalau penalti ttp langgar lantas gol yg anulir sana sentuh bola posisi sejajar lantas yg sentuh bola main lawan lantas bola terima ferari mantul arah sananta aneh afc wasit seperti skenario indonesia korban wakil asia olimpiade,2024-04-30 12:34:11
419,@user-lo4mw2tp8j,alah sogok sama orang tau nya aku dasar terima ,2024-04-30 12:32:22
420,@user-gd1mt5on1b,salah maaf,2024-04-30 12:31:17
421,@onhykhen2138,balik,2024-04-30 12:31:11
422,@shedian1119,uzbekistan played very well but it was embarrassing throughout the game they had too much drama deliberately wanting to make indonesia get a foul honestly it s a shame they played dirty and the referee also only sided with uzbekistan when uzbekistan committed a foul the referee pretended not to see it but when indonesia commits a violation the referee immediately gives a red card this is not fair do they pay the referee we the indonesian people don t mind if your national team loses but at least they play cleanly without any cheating let alone a referee who only favors one team is indonesia that scary that you have to play cheating a humiliating victory is not worthy of praise,2024-04-30 12:31:05
423,@IkmahArifa-by3ti,wasiet nya bayar,2024-04-30 12:30:43
424,@doffyflaming6603,satu kata wasit anjin9,2024-04-30 12:30:21
425,@bambangsumpena3305,ingat qatar diam usaha jegal indo masuk olimpiade karena temu qtar indo apalgi qatar lolos jadi mau indo bukti lebih hebat qatar iraq bakal ting wasit tapi jelang laga indo vs iraq wasit titip qatar,2024-04-30 12:29:37
426,@user-ow1br4fj5w,very sick to remembered pahit memang bila terima buah kalah dewasa sikap salah siapa lebih main yg juang luar biasa darah darah demj jaga harkat martabat harga diri bangsa ini jadi tonton yg baik usaha nikmat manis pahit buah tanding bahkan orang maestro sepak bola legenda kenal prancis zinidine zidane pernah ucap rasa manis buah menang bila pernah mrasakan pahit buah kalah orang orang tau jadi juara piala dunia segala puja puji semat tau lalu lewat proses pahit buah gagal moga timnas terlalu larut sedih dalam juang selesai ayo bangkit garuda muda masih mimpi raih terus semangat juang garuda muda selalu ada sisi kalian,2024-04-30 12:28:56
427,@user-ow1br4fj5w,keep applause tetap semangaat timnas indonesia banggan banggan tas semua ,2024-04-30 12:29:19
428,@farenadnan-ri4uk,wasit minta santet,2024-04-30 12:20:42
429,@MikeSmith15788,indonesiaaa bangga bangett,2024-04-30 12:19:12
430,@ZeaImut-wg2vf,sb takut kalah main indonesia tdk segan2 buat yg tercelacurang kasar maka wajar si bejo tdk mau betpihak,2024-04-30 12:14:46
431,@BenedictusDominicsamidi,semua coba perhati baik apa yg bicara dua wasid garis antar main lawan no 5,2024-04-30 12:13:55
432,@rudybbh4395,gak highlight gol 2 nya uzbekistan bagaimana editor kelas rcti kok bikin salah fatal ini,2024-04-30 12:13:32
433,@TriWahyono-fh8mu,gua kira cuma liga dagel doang liga 1 wasit aga luar nurul tau sama aja,2024-04-30 12:08:11
434,@r_channel3904,coba cek nomor lima wasit garis apa yg bincang dua mungkin wasidnya iming upah yg besar mungkin kalau situ ku bubarin semua main uzbekistan wasid yg mau sogok itu,2024-04-30 12:01:08
435,@user-yq8rg5kg1f,dua tim nmpak sama bagus pola mai tp kemenangn tdk jarang betpihak pd yg bejo dn adlh uzbekistan lain kali sblm main baik jg kl minim antangin lbh dulu biar lbh bejo,2024-04-30 11:59:35
436,@hannarosyda,asli hobi nonton bola negara main baru kali negara uzbekistan main se imbang cuma xting nya luar biasa main mah hebat indonesia ,2024-04-30 11:59:21
437,@umarsigit4514,komentator ni yg bikin jengkel terlalu lebih an,2024-04-30 11:58:48
438,@Rejo.chanel,kaki sananta pas ofsed bola atas harus ga ofsed,2024-04-30 11:57:31
439,@gogogoyay2137,turut duka cita atas tinggal wasit asal china shen -yinhao  moga amal ibadah terima sis ,2024-04-30 11:56:50
440,@Thedolls55,tiga wasit pimpin tanding buat curang afc pecat semua,2024-04-30 11:56:29
441,@Rejo.chanel,tetap bangga timnas muda kita,2024-04-30 11:56:19
442,@umarsigit4514,wasit sinho cina wasit var diblaclis  curang laku jahat,2024-04-30 11:52:45
443,@asyifanurhaya5504,hadir,2024-04-30 11:51:36
444,@user-lk3kl2co9p,aneh nola reborn offside wasit ngawurr gak fair play penjara aja,2024-04-30 11:48:26
445,@Gedang628,tetap bangga timnas u-23  tampil baik lawan uzbekistan optimis ,2024-04-30 11:48:01
446,@Bee766,tetap semngat indonesia moga juara 3 biar lolos langsng olimpiade tanding murni lebih unggul uzbek,2024-04-30 11:47:33
447,@lotussungai2651,wasit berar belah ngawur gsk fair play wasit,2024-04-30 11:44:21
448,@eriadi5356,yg kena pertama bola bukan orang kok kartu merah,2024-04-30 11:42:43
449,@lotussungai2651,wasit bung towel,2024-04-30 11:41:54
450,@rafik201,uda jelas langgar tipis dlam kotak pinalti kurang tliti waset nya curang,2024-04-30 11:41:10
451,@wahyuismanto8555,wasit curang,2024-04-30 11:41:01
452,@AntonyChiu,kasi semua qatar piala,2024-04-30 11:40:04
453,@andiantowijaya4885,host komentar salah lihat kaki gak lihat kiper lawan yg nampar bola,2024-04-30 11:39:07
454,@wahyuismanto8555,menang nasip huh,2024-04-30 11:38:57
455,@muhammadabdulghofur5846,main curang bangga wkwkwk,2024-04-30 11:37:49
456,@sischamsetchamset8114,tetap bangga walauoun kalah satu satu team bobol gawang uzb indoneaia,2024-04-30 11:37:00
457,@ariesbojo88,fifa wasit curang jangan pakai wasit kemudian hari,2024-04-30 11:35:03
458,@user-jb7fh1rr3s,tuju lolos olimpiade juara bonus fokus rebut juara 3 biar lolos gabung grup b  argentina maroko ukraina indonesia insya alloh kalau lolos juara 3,2024-04-30 11:34:59
459,@muhlasbentar1312,ofseid tanding ulang bola tampar jaga gawang pasal bola masuk sah,2024-04-30 11:31:50
460,@muhammadabdulghofur5846,kalau saksi kan tanding sebut wasit udah hajar kan gak adil wasit,2024-04-30 11:31:50
461,@CintaKu-iw4wg,klu mau mng coba gibran  kaesang boby nstn anwar usman jokowi main wasitnga ketua mk mng haaa haaaa,2024-04-30 11:28:47
462,@fardhanisfajarabhiansyah,asia jepang sepak bola bagus bantu wasit atas putus putus salah juara ,2024-04-30 11:28:13
463,@golfadvebture5896,semua gantung wasit nya sih,2024-04-30 11:26:30
464,@laurensiuslagubaru857,timnas sdh main maksimal meski sdkt laku keslahan2  main lawan memang bagus dan wasit jg sdh bagus memang hrs lebh juang doa jngn lupa,2024-04-30 11:25:56
465,@elandarmawan7713,taiyong gk pernah juara tapi selalu manja pssi erik tohir,2024-04-30 11:25:20
466,@muhammadabdulghofur5846,wasit lol,2024-04-30 11:24:34
467,@laurensiuslagubaru857,wasit e koclok,2024-04-30 11:24:17
468,@zulglxgaming3613,wasit curang harus nya pecat langsung jangan jadi kan wasit lagi biar tonton gak rasa kesal saksi kan tanding,2024-04-30 11:24:16
469,@user-so9fg6ut3f,skill memang ga dipungkiri handling bola bagus uzbekistan,2024-04-30 11:24:16
470,@ATAKAOfficial,bismillahirrahmanirrahim olimpiade paris 2024 indonesia,2024-04-30 11:22:12
471,@masmbeng_99,uzbekistan sangat kuat,2024-04-30 11:21:48
472,@ghodelia,pulang tanam sayur,2024-04-30 11:21:35
474,@aimbizquit,bilangin jersey home jangan merah merah celana putih bikin sial aja,2024-04-30 11:20:40
475,@HerlanHerlann,wasit bayar,2024-04-30 11:19:49
476,@rukiKopral-jz3fq,aku selalu doa indonesia masuk olimpiade walaupun kalah uzbekistan 2-0,2024-04-30 11:19:21
477,@laurensiuslagubaru857,wasit pepek,2024-04-30 11:16:55
478,@virgilioschuardi2317,mental uji,2024-04-30 11:16:48
479,@RazifMusthofa,fuck afc,2024-04-30 11:16:48
480,@user-zu7nz1kx9k,meski wasit panas tetap semangat,2024-04-30 11:16:07
482,@dhefivee9323,tetap bangga indonesia walaupun garuda terima kalah,2024-04-30 11:14:16
483,@queenratu4680,mau tambah cuman malu,2024-04-30 11:10:29
484,@praz945,komentator nya,2024-04-30 11:09:00
485,@rianamelia-ib6lo,wasit curang  bangga sama indonesia maju trus,2024-04-30 11:08:59
486,@rianamelia-ib6lo,kalah uzbekistan baru sadar penting hadir orang raffa orang striker yg lincah selalu buka ruang baik utk kawan yg maupun utk sendiri bagaimana lokal pride,2024-04-30 11:06:06
488,@NurJannah-lg5fv,wasit thailan asuu ga senang kalo tetangga maju,2024-04-30 11:04:07
489,@MuhammadYazid-on7ii,mau ngumpulin dukung jepang  jadi juara ngalahin uzbekistan final,2024-04-30 11:04:06
490,@boyngalam9821,kagak kalo cheat match ulang,2024-04-30 11:04:00
491,@DwiPurwanto-xi2jm,aku ajaa lwan emng jos,2024-04-30 11:02:49
492,@FharelF,var sampe zoom zoom cepetin sngat bahaya,2024-04-30 11:02:30
493,@alegriasenjapertiwi4369,wasit bayar anjik,2024-04-30 11:02:25
494,@alegriasenjapertiwi4369,gol indonesia gk opset coba cek d menit 12 11 pertama kali bola naik,2024-04-30 11:04:04
495,@user-tk9cw3iu8u,usbekistan curang,2024-04-30 11:02:23
496,@RudiBlackcoot,gak adil tanding arhan tiba tiba kartu kuning,2024-04-30 11:02:13
499,@hilmanbose6714,qatar layak menjdi tuanrumah suap sana sini,2024-04-30 10:58:56
500,@FharelF,siuuuuu   ,2024-04-30 10:58:24
501,@ariyjulian5511,bola kan kena kiper lawan lalu ferari lalu baru mantul sananta kok offside yaaa,2024-04-30 10:57:29
502,@SanjayaAlex23,curang jelass,2024-04-30 10:56:10
503,@desmonmiles7974,indonesia menag ,2024-04-30 10:54:48
504,@user-mi7gz6hu9o,semngt indonesia,2024-04-30 10:52:15
505,@hamakobet,indonesia terlalu hebat kalah mngkny wasit curang ,2024-04-30 10:51:15
506,@charlesgilbert8497,kasi garuda muda,2024-04-30 10:50:56
507,@jayjaelani9741,arhan pratama langgar kartu kuning rizki ridho tendang bola kasi kartu merah khan reaksi tendang bukan sengaja timnas indonesia semangaaat semangaaat semangaaat  kalian baik ,2024-04-30 10:50:52
508,@Prisiieladillarachman,wasit nya pea,2024-04-30 10:48:57
509,@HabibyGaming1663,saharus nya adill,2024-04-30 10:48:55
510,@suhendrayoutube,wasit memang curannnnnnnnggg,2024-04-30 10:48:55
